"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2024","133.501","133.254","133.501","133.071","","0.14%"
"05/30/2024","133.310","133.480","133.510","133.220","","-0.03%"
"05/29/2024","133.350","133.150","133.370","133.150","","0.20%"
"05/28/2024","133.080","133.030","133.110","132.965","","0.05%"
"05/27/2024","133.010","132.950","133.025","132.870","","0.04%"
"05/24/2024","132.960","133.215","133.215","132.850","","-0.15%"
"05/23/2024","133.162","133.288","133.361","133.162","","-0.07%"
"05/22/2024","133.250","133.295","133.295","133.155","","-0.03%"
"05/21/2024","133.290","133.295","133.385","133.215","","-0.08%"
"05/20/2024","133.397","132.621","133.397","132.621","","0.04%"
"05/17/2024","133.340","133.590","133.600","133.330","","-0.19%"
"05/16/2024","133.600","133.550","133.615","133.505","","0.00%"
"05/15/2024","133.600","133.595","133.625","133.550","","-0.01%"
"05/14/2024","133.620","133.630","133.645","133.610","","0.01%"
"05/13/2024","133.603","133.713","133.733","133.603","","0.00%"
"05/10/2024","133.598","133.708","133.708","133.126","","0.00%"
"05/09/2024","133.600","133.575","133.630","133.510","","-0.02%"
"05/08/2024","133.630","133.590","133.640","133.585","","0.00%"
"05/07/2024","133.630","133.655","133.655","133.614","","0.04%"
"05/06/2024","133.580","133.480","133.600","133.470","","0.08%"
"05/03/2024","133.475","133.504","133.504","133.127","","-0.06%"
"05/02/2024","133.550","133.465","133.590","133.465","","-0.53%"
"05/01/2024","134.266","133.590","134.428","133.590","","0.59%"
"04/30/2024","133.480","133.560","133.650","133.470","","-0.05%"
"04/29/2024","133.550","133.425","133.610","133.425","","0.16%"
"04/26/2024","133.340","133.290","133.385","133.285","","0.03%"
"04/25/2024","133.300","133.345","133.440","133.305","","-0.02%"
"04/24/2024","133.320","133.290","133.330","133.210","","-0.02%"
"04/23/2024","133.350","133.385","133.430","133.260","","-0.02%"
"04/22/2024","133.380","133.445","133.520","133.320","","-0.13%"
"04/19/2024","133.550","133.695","133.730","133.530","","-0.08%"
"04/18/2024","133.660","133.610","133.675","133.600","","0.12%"
"04/17/2024","133.497","133.719","133.836","133.497","","-0.12%"
"04/16/2024","133.660","133.625","133.685","133.560","","0.10%"
"04/15/2024","133.520","133.505","133.530","133.475","","0.04%"
"04/12/2024","133.460","133.385","133.485","133.370","","0.04%"
"04/11/2024","133.403","133.130","134.632","133.130","","0.23%"
"04/10/2024","133.100","133.145","133.170","133.050","","0.08%"
"04/09/2024","132.987","132.928","132.987","132.928","","-0.23%"
"04/08/2024","133.300","133.230","133.335","133.160","","0.02%"
"04/05/2024","133.270","133.490","133.505","133.215","","-0.17%"
"04/04/2024","133.500","133.480","133.540","133.475","","0.00%"
"04/03/2024","133.500","133.370","133.510","133.370","","0.06%"
"04/02/2024","133.420","133.400","133.440","133.345","","0.08%"
"04/01/2024","133.316","133.195","133.316","133.195","","-0.04%"
"03/29/2024","133.368","133.381","133.517","133.368","","-0.05%"
"03/28/2024","133.440","133.315","133.450","133.295","","0.03%"
"03/27/2024","133.400","133.310","133.530","133.270","","0.11%"
"03/26/2024","133.250","133.350","133.390","133.230","","-0.11%"
"03/25/2024","133.390","133.214","133.801","133.214","","-0.07%"
"03/22/2024","133.480","133.240","133.495","133.210","","0.33%"
"03/21/2024","133.040","132.935","133.060","132.870","","-0.01%"
"03/20/2024","133.050","132.815","133.075","132.810","","0.14%"
"03/19/2024","132.860","132.700","132.880","132.685","","0.16%"
"03/18/2024","132.650","132.550","132.670","132.520","","0.04%"
"03/15/2024","132.600","132.730","132.730","132.555","","0.07%"
"03/14/2024","132.510","132.550","132.625","132.515","","-0.05%"
"03/13/2024","132.580","132.505","132.655","132.505","","0.11%"
"03/12/2024","132.430","132.360","132.445","132.350","","0.02%"
"03/11/2024","132.410","132.350","132.430","132.230","","0.06%"
"03/08/2024","132.326","131.791","132.326","131.721","","-0.10%"
"03/07/2024","132.460","132.525","132.530","132.370","","-0.05%"
"03/06/2024","132.520","132.650","132.655","132.520","","-0.08%"
"03/05/2024","132.630","132.640","132.690","132.615","","0.01%"
"03/04/2024","132.620","132.585","132.670","132.570","","-0.02%"
"03/01/2024","132.640","132.590","132.665","132.540","","-0.02%"
"02/29/2024","132.660","132.610","132.710","132.605","","-0.02%"
"02/28/2024","132.680","132.655","132.720","132.620","","0.03%"
"02/27/2024","132.640","132.625","132.650","132.600","","0.02%"
"02/26/2024","132.620","132.625","132.660","132.585","","-0.06%"
"02/23/2024","132.700","132.585","132.735","132.550","","0.12%"
"02/22/2024","132.540","132.730","132.730","132.545","","-0.16%"
"02/21/2024","132.750","132.655","132.760","132.590","","0.01%"
"02/20/2024","132.740","132.825","132.830","132.670","","-0.06%"
"02/19/2024","132.823","132.812","132.823","132.777","","0.00%"
"02/16/2024","132.820","132.855","132.865","132.810","","-0.04%"
"02/15/2024","132.870","132.800","132.875","132.785","","0.02%"
"02/14/2024","132.850","132.975","132.990","132.840","","0.04%"
"02/13/2024","132.800","132.800","132.850","132.775","","0.00%"
"02/12/2024","132.800","132.850","132.850","132.765","","-0.05%"
"02/09/2024","132.860","132.745","132.880","132.710","","0.10%"
"02/08/2024","132.730","132.730","132.810","132.630","","-0.02%"
"02/07/2024","132.750","132.860","132.865","132.705","","-0.11%"
"02/06/2024","132.890","132.850","132.910","132.840","","0.00%"
"02/05/2024","132.890","132.865","132.915","132.810","","0.17%"
"02/02/2024","132.670","132.635","132.690","132.525","","-0.05%"
"02/01/2024","132.740","132.830","132.855","132.685","","-0.10%"
"01/31/2024","132.870","132.980","133.000","132.830","","-0.08%"
"01/30/2024","132.970","133.020","133.035","132.975","","-0.03%"
"01/29/2024","133.010","133.040","133.050","133.015","","0.09%"
"01/26/2024","132.891","133.036","133.594","132.891","","-0.07%"
"01/25/2024","132.980","133.015","133.025","132.940","","-0.02%"
"01/24/2024","133.000","133.030","133.070","132.975","","-0.03%"
"01/23/2024","133.040","132.985","133.070","132.900","","0.05%"
"01/22/2024","132.967","132.803","132.967","132.729","","0.05%"
"01/19/2024","132.900","133.055","133.065","132.900","","-0.08%"
"01/18/2024","133.000","133.050","133.095","132.970","","-0.02%"
"01/17/2024","133.020","132.985","133.070","132.910","","0.08%"
"01/16/2024","132.910","132.700","132.930","132.680","","0.23%"
"01/15/2024","132.610","132.505","132.670","132.440","","-0.05%"
"01/12/2024","132.680","132.935","132.965","132.585","","-0.12%"
"01/11/2024","132.840","132.870","132.930","132.690","","-0.02%"
"01/10/2024","132.860","133.010","133.095","132.760","","-0.09%"
"01/09/2024","132.980","132.900","133.015","132.865","","-0.03%"
"01/08/2024","133.020","132.950","133.055","132.880","","-0.02%"
"01/05/2024","133.040","133.180","133.195","133.000","","-0.10%"
"01/04/2024","133.170","133.305","133.320","133.130","","-0.05%"
"01/03/2024","133.240","133.290","133.340","133.205","","-0.05%"
"01/02/2024","133.310","133.250","133.365","133.185","","0.10%"
"01/01/2024","133.180","133.185","133.190","133.040","","0.04%"
"12/29/2023","133.130","133.050","133.160","132.960","","0.05%"
"12/28/2023","133.060","133.245","133.295","133.060","","-0.22%"
"12/27/2023","133.350","133.135","133.370","133.130","","0.18%"
"12/26/2023","133.110","133.045","133.145","132.970","","-0.11%"
"12/25/2023","133.262","133.172","133.308","133.172","","0.18%"
"12/22/2023","133.020","133.190","133.240","132.985","","-0.17%"
"12/21/2023","133.240","133.090","133.255","133.090","","0.13%"
"12/20/2023","133.070","133.095","133.095","133.010","","-0.02%"
"12/19/2023","133.090","132.970","133.150","132.950","","0.14%"
"12/18/2023","132.900","132.745","132.905","132.655","","0.08%"
"12/15/2023","132.800","133.310","133.320","132.710","","-0.40%"
"12/14/2023","133.330","133.245","133.375","133.230","","-0.08%"
"12/13/2023","133.440","133.420","133.455","133.410","","0.01%"
"12/12/2023","133.420","133.370","133.430","133.370","","-0.01%"
"12/11/2023","133.430","133.425","133.435","133.390","","0.01%"
"12/08/2023","133.420","133.370","133.425","133.335","","0.04%"
"12/07/2023","133.360","133.385","133.400","133.320","","0.03%"
"12/06/2023","133.320","133.370","133.400","133.270","","-0.07%"
"12/05/2023","133.410","133.415","133.445","133.390","","0.02%"
"12/04/2023","133.380","133.225","133.400","133.225","","0.09%"
"12/01/2023","133.260","133.215","133.385","133.205","","-0.13%"
"11/30/2023","133.430","133.290","133.440","133.265","","0.08%"
"11/29/2023","133.320","133.290","133.335","133.240","","-0.01%"
"11/28/2023","133.330","133.375","133.435","133.315","","-0.05%"
"11/27/2023","133.395","132.937","133.395","132.937","","0.00%"
"11/24/2023","133.390","133.360","133.415","133.345","","0.03%"
"11/23/2023","133.350","133.270","133.380","133.270","","0.03%"
"11/22/2023","133.310","133.290","133.350","133.210","","-0.04%"
"11/21/2023","133.370","133.330","133.385","133.315","","0.02%"
"11/20/2023","133.340","133.200","133.365","133.170","","0.08%"
"11/17/2023","133.230","133.180","133.250","133.170","","0.05%"
"11/16/2023","133.170","133.095","133.190","133.075","","0.11%"
"11/15/2023","133.030","132.905","133.110","132.825","","-0.05%"
"11/14/2023","133.099","133.422","133.422","133.099","","-0.17%"
"11/13/2023","133.330","133.285","133.340","133.255","","-0.01%"
"11/10/2023","133.340","133.260","133.480","133.240","","0.07%"
"11/09/2023","133.250","133.225","133.270","133.215","","0.01%"
"11/08/2023","133.240","133.215","133.255","133.170","","0.02%"
"11/07/2023","133.210","133.175","133.235","133.175","","0.05%"
"11/06/2023","133.140","133.030","133.185","133.030","","-0.09%"
"11/03/2023","133.260","133.175","133.265","133.170","","0.05%"
"11/02/2023","133.190","133.170","133.240","133.095","","-0.05%"
"11/01/2023","133.250","133.230","133.275","133.210","","0.04%"
"10/31/2023","133.200","133.230","133.240","133.200","","0.00%"
"10/30/2023","133.200","133.205","133.240","133.185","","0.01%"
"10/27/2023","133.190","133.160","133.215","133.160","","0.02%"
"10/26/2023","133.170","133.110","133.200","133.110","","0.06%"
"10/25/2023","133.090","132.910","133.110","132.910","","0.10%"
"10/24/2023","132.955","133.024","133.024","132.070","","-0.12%"
"10/23/2023","133.110","133.070","133.115","132.985","","0.08%"
"10/20/2023","133.000","133.070","133.130","132.870","","-0.14%"
"10/19/2023","133.190","133.225","133.255","133.175","","-0.02%"
"10/18/2023","133.210","133.170","133.240","133.160","","0.00%"
"10/17/2023","133.210","133.180","133.230","133.150","","-0.02%"
"10/16/2023","133.240","133.200","133.255","133.190","","0.02%"
"10/13/2023","133.220","133.185","133.240","133.170","","0.02%"
"10/12/2023","133.190","133.065","133.200","133.000","","0.07%"
"10/11/2023","133.100","133.130","133.190","133.055","","-0.07%"
"10/10/2023","133.190","133.175","133.225","133.155","","-0.02%"
"10/09/2023","133.220","133.165","133.240","133.140","","0.02%"
"10/06/2023","133.190","133.160","133.210","133.095","","-0.01%"
"10/05/2023","133.200","133.145","133.225","133.095","","0.02%"
"10/04/2023","133.180","133.150","133.230","133.105","","0.04%"
